Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-02-09;88,00;3,18;10,60;3,18;34,99;4,00;0,00;70,00;0,00;14,00;4,00;21,00;4,00;7,00;7,00;14,00;4,00;21,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;18,00;4,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;39,00;7,38;7,38;0,00;21,08;4,00;0,00;18,00;0,00;11,00;0,00;21,00;0,00;4,00;4,00;0,00;0,00;14,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;14,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;47,00;3,13;0,00;6,27;19,84;7,00;3,00;0,00;0,00;10,00;3,00;10,00;3,00;7,00;3,00;7,00;7,00;3,00;0,00;10,00;10,00;0,00;0,00;7,00;0,00;0,00;3,00;10,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00
2020-03-01;40,00;3,16;6,32;0,00;26,32;7,00;10,00;10,00;0,00;13,00;3,00;10,00;0,00;3,00;3,00;3,00;13,00;7,00;0,00;3,00;3,00;0,00;3,00;3,00;0,00;0,00;3,00;7,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;26,00;3,25;0,00;6,50;108,33;6,00;0,00;3,00;0,00;16,00;3,00;19,00;3,00;10,00;6,00;6,00;16,00;16,00;0,00;3,00;10,00;0,00;0,00;3,00;0,00;10,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;7,00;0,00;0,00;10,50;43,17;0,00;3,00;0,00;3,00;0,00;0,00;3,00;7,00;0,00;7,00;3,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;3,00;3,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;10,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;3,00;0,00;6,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;3,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;10,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
