Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2021-03-28;12,00;4,80;2,40;12,00;0,00;0,00;0,00;0,00;0,00;2,00;3,00;5,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00
2021-04-04;5,00;2,50;2,50;12,50;0,00;2,00;0,00;2,00;0,00;2,00;2,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-11;9,00;2,25;2,25;9,00;2,25;2,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00
2021-04-18;12,00;9,60;4,80;9,60;2,40;2,00;0,00;0,00;0,00;2,00;2,00;3,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-25;12,00;2,40;2,40;16,80;0,00;0,00;0,00;0,00;0,00;2,00;2,00;7,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00
2021-05-02;14,00;7,00;2,33;16,33;0,00;0,00;0,00;0,00;0,00;2,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-09;14,00;2,33;4,67;16,33;4,67;2,00;0,00;0,00;0,00;5,00;5,00;9,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;2,00
2021-05-16;14,00;14,00;2,33;16,33;2,33;0,00;0,00;2,00;0,00;2,00;9,00;12,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-05-23;18,00;11,25;4,50;6,75;0,00;0,00;0,00;2,00;2,00;7,00;2,00;3,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00
2021-05-30;23,00;4,60;0,00;18,40;2,30;2,00;0,00;0,00;0,00;2,00;3,00;10,00;0,00;0,00;2,00;2,00;2,00;0,00;0,00;2,00;0,00
2021-06-06;27,00;11,25;4,50;15,75;4,50;0,00;0,00;0,00;0,00;3,00;7,00;9,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2021-06-13;23,00;9,20;2,30;16,10;0,00;2,00;0,00;2,00;2,00;2,00;0,00;8,00;2,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-06-20;44,00;6,95;4,63;27,79;4,63;0,00;0,00;0,00;0,00;0,00;5,00;7,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-27;35,00;4,67;11,67;23,33;0,00;0,00;0,00;4,00;0,00;2,00;4,00;11,00;0,00;0,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00
2021-07-04;28,00;7,00;7,00;30,33;9,33;2,00;0,00;0,00;4,00;0,00;7,00;5,00;0,00;0,00;4,00;2,00;2,00;0,00;0,00;0,00;0,00
2021-07-11;15,00;15,00;10,00;30,00;5,00;0,00;0,00;0,00;0,00;2,00;5,00;9,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-07-18;27,00;6,75;4,50;24,75;9,00;0,00;0,00;0,00;0,00;2,00;11,00;9,00;0,00;0,00;2,00;0,00;2,00;0,00;2,00;0,00;0,00
2021-07-25;24,00;6,55;2,18;21,82;4,36;4,00;0,00;0,00;0,00;4,00;5,00;4,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-08-01;42,00;11,67;4,67;32,67;2,33;0,00;0,00;0,00;0,00;0,00;9,00;7,00;2,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-08-08;32,00;2,29;2,29;11,43;0,00;0,00;0,00;0,00;0,00;0,00;7,00;5,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-08-15;30,00;11,54;4,62;32,31;4,62;0,00;0,00;0,00;0,00;9,00;13,00;2,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00
2021-08-22;25,00;9,09;11,36;25,00;2,27;0,00;0,00;0,00;0,00;6,00;13,00;11,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00
2021-08-29;25,00;6,82;2,27;15,91;0,00;0,00;0,00;0,00;0,00;4,00;8,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00
